,article
10,"March 16 (Reuters) - CBO Territoria SA : * FY net income group share 6.6 million euros ($7.32 million)versus 10.4 million euros a year ago * FY operating income 15.1 million euros versus 12.7 million euros a year ago * Anticipates for 2016 growth 3.3 pct of rental revenues gross to reach 18.4 million euros * Proposes FY dividend of 0.17 euro per share * NAV per share stood at eur 5.39, up 0.2 pct at end of year Source text: bit.ly/1pKHKMn Further company coverage: ($1 = 0.9018 euros) (Gdynia Newsroom:)"
11,"BRUSSELS (Reuters) - The Belgian soccer association canceled next Tuesday’s international soccer friendly against Portugal in Brussels over security fears after the Islamic State attacks in the city. “The Red Devils match against Portugal, scheduled for Tuesday evening at the King Baudouin Stadium, will not take place,” it said on its website. Reporting by Philip Blenkinsop; Editing by Alastair Macdonald"
12,"MELBOURNE (Reuters) - Roger Federer celebrated his 100th match at the Australian Open on Friday by giving young American Taylor Fritz a center court schooling to reach the last 16 and set up a mouthwatering clash with ‘Next Gen’ champion Stefanos Tsitsipas. Chasing a record seventh Melbourne title and his third in succession, the 37-year-old Swiss has been in ominous form at the year’s first Grand Slam and his 6-2 7-5 6-2 masterclass at Rod Laver Arena was another warning to the Tour’s upstarts. Fritz, 21, was meant to offer Federer a meaningful test with his prodigious serve and powerful ground-strokes but was instead sent packing after less than 90 minutes. Third seed Federer tied the American in knots with a sumptuous array of drop shots, angled volleys and winners conjured seemingly at will from behind the baseline. Fans hoping for change at the top of men’s tennis will look to Greek trailblazer Tsitsipas to give Federer a better shake. The shaggy-haired 20-year-old, who capped a breakout season by claiming the Next Gen ATP Finals in Milan in December, has ridden a wave of support from Melbourne’s huge Greek community at the tournament. Federer has his own army of fans at Melbourne Park, however, and they hung on his every word as he delivered words of encouragement to the young pretenders seeking to knock him off the perch. “They’re doing great, what do you want me to tell you?” he told Jim Courier in his on-court interview. “We all want them to win the big stuff but it just takes time ... I’m still giving them a hard time sometimes.” Federer has reached the fourth round of a Grand Slam for a record-extending 63rd time in the professional era and may still be the best equipped player to deny top seed Novak Djokovic from claiming a third Grand Slam title in succession. Citing Jamaican sprinter Merlene Ottey, who won an Olympic silver at 40 and continued to run into her fifties, a reporter asked Federer whether his best might still be to come. “No, I don’t think so,” he said bluntly. “I think the last 10 years have been a lot of fun, maybe more fun than the first 10, I’m not sure. “But yeah, I don’t think with four children and with the career that I have had and my body, I want it to be somewhat healthy — and healthy actually when I retire. “I don’t think that’s a good idea, you know, to be quite honest.” Editing by Peter Rutherford"
13," (CNN)While President-elect Donald Trump will soon step into the Oval Office, his business interests continue to circle the globe and in some cases operate in places likely to overlap with his administration's foreign policy decisions. Read more about Trump's overseas business interests In his most recent financial disclosures, Trump listed 144 individual companies that have had dealings in at least 25 countries in Asia, Europe, Africa, South America and North America, among other companies with regional international interests, according to a CNN review. The interests range from management deals with golf courses in the UAE, branding agreements with real estate projects that bear Trump's name in India as well as companies that have been involved with beverage sales in Israel. Democrats try to force a fight on Trump's business interests Some of Trump's dealings have already become a focal point of controversy, such as Trump Towers Istanbul, which received criticism from Turkish President Recep Tayyip Erdogan after Trump proposed a ban on Muslims entering the U.S. Despite the revelations from the lengthy disclosures Trump filed during his presidential campaign, the full extent of his international business ties remain unknown since Trump has refused to release his tax returns.   "
14,"Didi Mobility Japan, a joint venture (JV) by China's Didi Chuxing and SoftBank Corp, said it would expand its taxi-hailing service to 13 cities across Japan. The app was first rolled out in September in Osaka, a popular destination for Chinese tourists, where it has tied up with 40 taxi firms in an increasingly crowded market for such apps that includes rivals backed by Sony and Toyota Motor. It is expanding into Tokyo and Kyoto from Wednesday, with a further 10 locations to follow in the current financial year. Despite SoftBank's oversized presence in the global ride-hailing industry, such services are effectively banned in Japan, leaving SoftBank portfolio companies like Didi and Uber limited to offering services that match taxis with customers. Didi is among a growing number of SoftBank Group Corp-backed companies launching JVs with SoftBank's domestic telco. Other startups doing so are shared co-working firm WeWork Cos and Indian hotel startup OYO. As part of SoftBank's efforts to drive synergies between its portfolio companies users will be able to access the taxi-hailing service through Yahoo Japan's route-finding app and pay via PayPay, an app that uses tech from India's Paytm."
15,"The S&P 500 just posted a historic winning streak, but some market participants are predicting that the long-running bull market could be on its last legs. According to Ryan Detrick, senior market strategist at LPL Financial, the S&P 500 has now gone 242 trading sessions without a 3 percent pullback — its longest streak ever and topping the previous record of 241 days set in 1995. Since the most recent streak began, the S&P has posted more than 20 percent returns over that period of time. While the markets could continue to churn higher, Todd Gordon of TradingAnalysis.com warned it could be entering its final few innings. ""We are in the third and final phase [of the classic Dow Theory], which is suggesting through the use of parallel channel that there is room towards 3,000 depending on the angle of ascent,"" he explained. The Dow Theory refers to three primary phases — accumulation, participation and distribution — which underpin a major market trend. ""I think we're in the distribution phase. That being said, I do see room up towards the top end of this channel, once we start to paint that in up around 3,000,"" he said Monday on CNBC's ""Power Lunch."" That's roughly 17 percent higher than where the S&P 500 is trading right now. However, Gordon added that the lack of volatility has him worried that a pullback is on the way. ""This is the quietest, in terms of a range, stock market on a monthly basis back to as far as 1905,"" he said. ""We're [trading] at about 4.5 percent monthly high to low range, that's the quietest in history."" For Chantico Global CEO Gina Sanchez, the market's complacency has been fed by a drop in key correlations and it could signal trouble ahead for equities. ""You're just diversifying away all risk, meaning the underlying stocks are much riskier than the aggregate looks like,"" she explained. ""[The S&P's] very narrow range [is] being diversified away by these low correlations, and it's lulling people into a severe sense of complacency."" She added that the last time correlations were this low, they preceded the 2001 dot-com bubble that sent the market tumbling. The S&P set another intra-day record on Monday before closing lower."
16,"(New throughout, updates prices and market activity) * U.S.’ Ross says preliminary trade deal may be signed this month * MSCI world equity index up 0.57% to highest since January 2018 * Oil prices creep higher on trade hopes and OPEC talks By Herbert Lash NEW YORK, Nov 4 (Reuters) - The dollar strengthened and global stock markets rallied on Monday on signs the United States and China are nearing the end of a damaging trade war as well as indications the world economy may yet dodge a recession. The three major U.S. stock indexes set record intraday highs and MSCI’s gauge of equity performance across the globe rose to less than 2% from an all-time peak set in January 2018. Beijing and Washington spoke Friday of progress in trade talks and U.S. Commerce Secretary Wilbur Ross said on Sunday licenses for U.S. companies to sell components to China’s blacklisted Huawei Technologies Co will come shortly. Washington has effectively banned federal agencies from buying Huawei telecommunications equipment and barred U.S. companies from doing business with Huawei, citing national security. Gold edged lower while the dollar gained on higher risk appetite as trade hopes grew after Ross said there was no reason a deal could not be on track for signing this month. A generally upbeat U.S. employment report on Friday added to optimism that the slowing U.S. economy was not headed toward recession. “Market trends are being influenced by a better risk mood overall,” said Shaun Osborne, chief FX strategist at Scotiabank in Toronto. European shares rallied more than 1%, with many reaching their highest level since January 2018. The STOXX 600 index of small, mid-sized and large companies across Europe surged to highs last seen in July 2015. Tariff-exposed European miners gained 2.9% while auto stocks also rose 2.9%. Reports that Fiat Chrysler and Peugeot owner PSA aimed to sign a final merger agreement as early as next month also lifted stocks. Earlier, trade hopes sent Asian stocks surging, with MSCI’s broadest index of Asia-Pacific shares outside Japan up 1.3%. Technology stocks boosted Wall Street, with the Philadelphia Semiconductor index hitting a new high, up 2.02%. MSCI’s gauge of stocks across the globe gained 0.48% while its emerging markets rose 1.34%. “Signing these deals takes time. All that is needed for markets to be happy right now is for an agreement to be announced,” said Rick Meckler, partner at Cherry Lane Investments in New Vernon, New Jersey. On Wall Street, the Dow Jones Industrial Average rose 96.51 points, or 0.35%, to 27,443.87. The S&P 500 gained 12.15 points, or 0.40%, to 3,079.06 and the Nasdaq Composite added 53.33 points, or 0.64%, to 8,439.73. The euro slipped as investors awaited Christine Lagarde’s first speech as European Central Bank president. But the single currency remained near its highest levels in weeks after Ross said in the interview that Washington may not slap tariffs on imported vehicles after “good conversations” with automakers in the European Union, Japan and Korea. The dollar index rose 0.33%, with the euro down 0.19% to $1.1144. The Japanese yen weakened 0.43% versus the greenback at 108.62 per dollar. Euro zone and U.S. bond yields rose on optimism a U.S.-China trade deal appeared near. Data on Monday showed morale among investors in the euro zone jumped in November to its highest since June. Germany’s benchmark 10-year Bund yield was at -0.35% while the benchmark 10-year U.S. Treasury note fell 17/32 in price to push its yield up to 1.7875%. Oil prices rose, buoyed by an improved outlook for crude demand as better-than-expected U.S. jobs growth fed hopes. Brent crude futures for January rose 44 cents to settle at $62.13 a barrel. U.S. crude futures settled up 34 cents at $56.54 a barrel. Spot gold dropped 0.4% to $1,507.25 an ounce. Reporting by Herbert Lash, additional reporting by Gertrude
Chavez-Dreyfuss, editing by Chris Reese and David Gregorio"
17,"June 13 (Reuters) - Caterpillar Inc on Thursday reported a 4% fall in Asia-Pacific machine retail sales for the rolling three-month period ended May 2019.  Total worldwide machine retail sales, however, rose 6% during the period, the company said in a regulatory filing here. (Reporting by Rachit Vats in Bengaluru; Editing by Anil D'Silva)"
18,"BOGOTA, June 6 (Reuters) - Colombia coffee shop chain Juan Valdez will focus on expanding its presence in Latin America, including returning to Mexico and debuting in Argentina, before it looks further afield to Asia and Europe, the chain’s president said.  Juan Valdez stores were founded in 2002 by the growers’ federation in the world’s top producer of washed arabica to sell premium Colombian coffee.  The chain has some 300 stores in Colombia and 131 in 13 other countries, including Ecuador, Chile, the United States, Spain and Panama.  “We’re putting things in order internationally, strengthening the markets where we already are with an important focus on Latin America,” Camila Escobar, the president of Procafecol, which owns Juan Valdez, said in an interview on Wednesday.  “In coming years we’ll continue conquering the world in places like Asia and Europe, which have a very relevant participation in coffee.”  The chain will return to Mexico this year, Escobar said, after closing its eight stores in the country in 2018. Its previous partnership model was unprofitable but the company is close to signing a deal with a new partner, she said.  Escobar would not say how many stores the chain plans to open in Mexico.  Juan Valdez stores will also make a 2019 debut in Argentina, she said, but entrance to Asia and European countries besides Spain could take about five years depending on finances.  The chain has about 30% of the coffee shop market in Colombia, where it competes with local chains Tostao and Oma and international heavyweight Starbucks Corp.  The chain has 100 own-brand coffee machines in offices around Colombia and hopes to expand that product to Chile, Peru, Ecuador and Panama in the coming months.  “We want to be there for the customer wherever the customer is,” said Escobar, 37.  The chain buys coffee directly from Colombian farmers and contributes to a fund to help growers weathering low international prices.  Colombia has lost 40,000 hectares (99,000 acres) of coffee planting area over the last 18 months as desperate farmers leave the industry because of prices, the growers’ federation has said.  Juan Valdez sells some 30,000 coffee drinks per day and employs 1,500 people in Colombia. (Reporting by Luis Jaime Acosta Writing by Julia Symmes Cobb Editing by Helen Murphy and Susan Thomas)"
19,"Larkin leads Red Wings to win over Coyotes DETROIT — Dylan Larkin shoulders much of the blame for last season, which saw the Detroit Red Wings’ 25-season run of playoff appearances end. Following a sensational rookie campaign during which the Red Wings center scored a team-leading 23 goals and played in the NHL All-Star Game, Larkin endured a sophomore slump last season, dropping to 17 goals and finishing with a minus-28 rating. “I really felt like last year it was partially on me, or a lot of it was on me,” Larkin said after he contributed a goal and an assist to Detroit’s 5-3 victory over the Arizona Coyotes on Tuesday. With his two-point night, Larkin (2-10-12) moved into the club’s scoring lead. Larkin assisted on linemate Anthony Mantha’s club-best fifth goal of the season. Gustav Nyquist, Luke Glendening and Darren Helm also scored for the Red Wings (6-6-1), who won for the second straight game. Jason Demers, Nick Cousins and Clayton Keller replied for the Coyotes (1-11-1), who were unable to win a second consecutive game. Facing a Coyotes team that won a 4-3 overtime decision at Philadelphia the night before, the Red Wings set out to start fast, and they accomplished their mission. Detroit wasted no time in establishing superiority. Nyquist picked off a clearing attempt by Coyotes defenseman Alex Goligoski, skated into the high slot and drilled the puck through traffic past screened Arizona goalie Scott Wedgewood (35 saves) just 1:29 after the opening faceoff. The Red Wings made it 2-0 at 2:37 when Glendening’s wrist shot from the right faceoff dot sailed over the blocker of the sprawling Wedgewood. “I thought we could have had more,” Larkin said. “We stayed patient, though, which I really like. As the game went on, there was no panic, nothing that got to us, except a little sloppy play in the third. “We were trying to cheat too much, or we wanted too much offense, I guess, and we got away from doing it the right way like we were in the first two periods, and that’s how we got our offense.” The Coyotes played with more urgency in the second period and were rewarded for it at 11:36 when Keller dropped the puck to Demers at the point and the defenseman blasted a shot past Detroit goalie Jimmy Howard (30 saves). The rally didn’t last long. Mantha chipped Andreas Athanasiou’s pass into the roof of the net behind Wedgewood to make it 3-1 at 13:03. Before the period was over, Larkin’s cross-crease pass intended for Mantha deflected off the stick of Coyotes defenseman Luke Schenn and past Wedgewood at 19:03. It was Larkin’s first goal since Detroit’s Oct. 5 season opener against the Minnesota Wild. “This is a good lesson for us, because we learned that you can’t play like that on the second half of a back-to-back,” Coyotes center Derek Stepan said. “If you execute your system and you play smart hockey in the first period, the game will come to you in the second and third periods. “We did an extremely poor job of that.” Catching the Red Wings on a bad line change, the Coyotes scored at the two-minute mark of the third period when Cousins swatted a backhand shot past Howard from a goalmouth scramble. The visitors drew within a goal of the lead when Keller’s shot bounced past Howard at 16:43 of the third. “To be honest with you, I guess it went off the knob of my stick,” Howard said. “I don’t think it touched anyone on the way in.” Helm tallied into the empty net at 18:38 to complete the scoring. NOTES: Coyotes C Clayton Keller (9-6-15) and Vancouver Canucks RW Brock Boeser (2-7-9) are the only rookies leading their teams in scoring. ... The Coyotes own an NHL-worst minus-23 goal differential. ... The Coyotes are the NHL’s worst penalty-killing team at 66.7 percent (20-for-30). ... Red Wings D Danny DeKeyser (sprained ankle) missed his 10th consecutive game. ... D/RW Luke Witkowski and LW David Booth were healthy scratches for the Red Wings. ... The Coyotes’ healthy scratches were LW Anthony Duclair and D Joel Hanley. ... D Niklas Hjalmarsson (upper body) was out, while G Antti Raanta (lower body) and D Jakob Chychrun (lower body) are on injured reserve for Arizona. ... The next point for Coyotes C Max Domi will be his 100th in the NHL. ... The Red Wings completed a season sweep of the Coyotes, also winning 4-2 on Oct. 12 at Arizona."
